"trip_id","H","S","D"
1642,12:14:00,15:16:00,18:57:00
1642,12:22:00,15:27:00,19:12:00
1642,12:30:00,15:38:00,19:27:00
1642,12:38:00,15:49:00,19:42:00
1642,12:46:00,16:00:00,19:57:00
1642,12:54:00,16:11:00,20:12:00
1642,13:02:00,16:22:00,20:27:00
1642,13:10:00,16:33:00,20:42:00
1642,13:18:00,16:44:00,20:57:00
1642,13:26:00,16:55:00,21:12:00
1642,13:34:00,17:06:00,21:27:00
1642,13:42:00,17:17:00,21:42:00
1642,13:50:00,17:28:00,21:57:00
1642,13:58:00,17:39:00,22:12:00
1642,14:12:00,17:50:00,22:42:00
1642,14:22:00,18:01:00,23:10:00
1642,14:30:00,18:12:00,23:38:00
1642,14:38:00,18:23:00,00:06:00
1642,14:48:00,18:34:00,00:34:00
1642,15:06:00,18:45:00,01:02:00
1642,15:14:00,18:56:00,
1642,15:24:00,19:07:00,
1642,15:40:00,19:18:00,
1642,15:52:00,19:29:00,
1642,16:04:00,19:40:00,
1642,16:16:00,19:51:00,
1642,16:28:00,20:02:00,
1642,16:40:00,20:13:00,
1642,16:52:00,20:24:00,
1642,17:04:00,20:35:00,
1642,17:16:00,20:46:00,
1642,17:28:00,20:57:00,
1642,17:34:00,21:08:00,
1642,17:40:00,21:19:00,
1642,17:52:00,21:41:00,
1642,17:58:00,21:52:00,
1642,18:04:00,22:11:00,
1642,18:12:00,22:41:00,
1642,18:20:00,23:11:00,
1642,18:28:00,23:41:00,
1642,18:36:00,00:09:00,
1642,18:44:00,00:37:00,
1642,18:52:00,01:05:00,
1642,19:00:00,,
1642,19:08:00,,
1642,19:16:00,,
1642,19:24:00,,
1642,19:32:00,,
1642,19:40:00,,
1642,19:48:00,,
1642,19:56:00,,
1642,20:04:00,,
1642,20:12:00,,
1642,20:20:00,,
1642,20:28:00,,
1642,20:36:00,,
1642,20:44:00,,
1642,20:52:00,,
1642,21:08:00,,
1642,21:16:00,,
1642,21:24:00,,
1642,21:34:00,,
1642,21:52:00,,
1642,22:10:00,,
1642,22:28:00,,
1642,22:42:00,,
1642,23:00:00,,
1642,23:15:00,,
1642,23:30:00,,
1642,23:45:00,,
1642,00:00:00,,
1642,00:15:00,,
1642,00:30:00,,
1642,01:00:00,,
1643,05:00:00,06:00:00,06:00:00
1643,05:13:00,06:26:00,06:33:00
1643,05:29:00,06:50:00,06:55:00
1643,05:45:00,07:00:00,07:11:00
1643,06:00:00,07:13:00,07:28:00
1643,06:10:00,07:26:00,07:44:00
1643,06:15:00,07:40:00,08:01:00
1643,06:30:00,07:53:00,08:17:00
1643,06:40:00,08:06:00,08:34:00
1643,06:45:00,08:19:00,08:50:00
1643,06:55:00,08:32:00,09:07:00
1643,07:00:00,08:46:00,09:23:00
1643,07:10:00,08:59:00,09:40:00
1643,07:14:00,09:12:00,09:56:00
1643,07:22:00,09:25:00,10:13:00
1643,07:32:00,09:38:00,10:29:00
1643,07:37:00,09:52:00,10:46:00
1643,07:44:00,10:05:00,11:02:00
1643,07:52:00,10:18:00,11:19:00
1643,07:59:00,10:31:00,11:35:00
1643,08:07:00,10:44:00,11:52:00
1643,08:14:00,10:58:00,12:08:00
1643,08:21:00,11:11:00,12:25:00
1643,08:29:00,11:24:00,12:41:00
1643,08:36:00,11:37:00,12:58:00
1643,08:44:00,11:50:00,13:14:00
1643,08:51:00,12:04:00,13:31:00
1643,08:59:00,12:17:00,13:47:00
1643,09:06:00,12:30:00,14:04:00
1643,09:14:00,12:43:00,14:20:00
1643,09:21:00,12:56:00,14:37:00
1643,09:28:00,13:10:00,15:10:00
1643,09:36:00,13:23:00,15:43:00
1643,09:43:00,13:36:00,16:16:00
1643,09:51:00,13:49:00,16:49:00
1643,09:58:00,14:02:00,17:05:00
1643,10:06:00,14:16:00,17:22:00
1643,10:13:00,14:42:00,17:38:00
1643,10:21:00,15:08:00,17:55:00
1643,10:28:00,15:48:00,18:11:00
1643,10:35:00,16:14:00,18:28:00
1643,10:43:00,16:41:00,18:44:00
1643,10:50:00,16:54:00,19:01:00
1643,10:58:00,17:07:00,19:17:00
1643,11:05:00,17:20:00,19:34:00
1643,11:13:00,17:34:00,19:50:00
1643,11:20:00,17:47:00,20:07:00
1643,11:28:00,18:00:00,20:23:00
1643,11:35:00,18:13:00,20:40:00
1643,11:42:00,18:26:00,20:56:00
1643,11:50:00,18:40:00,21:29:00
1643,11:57:00,18:53:00,22:02:00
1643,12:05:00,19:06:00,22:35:00
1643,12:12:00,19:19:00,23:08:00
1643,12:20:00,19:32:00,23:41:00
1643,12:27:00,19:46:00,00:14:00
1643,12:35:00,19:59:00,
1643,12:42:00,20:12:00,
1643,12:49:00,20:25:00,
1643,12:57:00,20:38:00,
1643,13:04:00,20:52:00,
1643,13:12:00,21:05:00,
1643,13:19:00,21:18:00,
1643,13:27:00,21:31:00,
1643,13:34:00,21:58:00,
1643,13:42:00,22:11:00,
1643,13:49:00,22:37:00,
1643,13:56:00,23:04:00,
1643,14:04:00,23:17:00,
1643,14:11:00,23:43:00,
1643,14:19:00,00:10:00,
1643,14:26:00,,
1643,14:34:00,,
1643,14:49:00,,
1643,15:03:00,,
1643,15:11:00,,
1643,15:26:00,,
1643,15:33:00,,
1643,15:41:00,,
1643,15:48:00,,
1643,15:56:00,,
1643,16:10:00,,
1643,16:18:00,,
1643,16:33:00,,
1643,16:40:00,,
1643,16:48:00,,
1643,16:55:00,,
1643,17:03:00,,
1643,17:10:00,,
1643,17:17:00,,
1643,17:25:00,,
1643,17:32:00,,
1643,17:40:00,,
1643,17:47:00,,
1643,17:55:00,,
1643,18:02:00,,
1643,18:10:00,,
1643,18:17:00,,
1643,18:24:00,,
1643,18:32:00,,
1643,18:39:00,,
1643,18:47:00,,
1643,18:54:00,,
1643,19:02:00,,
1643,19:09:00,,
1643,19:17:00,,
1643,19:24:00,,
1643,19:31:00,,
1643,19:39:00,,
1643,19:46:00,,
1643,19:54:00,,
1643,20:01:00,,
1643,20:09:00,,
1643,20:16:00,,
1643,20:31:00,,
1643,20:38:00,,
1643,20:53:00,,
1643,21:08:00,,
1643,21:23:00,,
1643,21:38:00,,
1643,22:00:00,,
1643,22:15:00,,
1643,22:30:00,,
1643,22:45:00,,
1643,23:07:00,,
1643,23:52:00,,
1643,00:07:00,,
1674,04:48:00,04:33:00,05:16:00
1674,05:10:00,04:51:00,05:39:00
1674,05:27:00,05:10:00,06:13:00
1674,05:40:00,05:29:00,06:36:00
1674,05:51:00,05:47:00,06:47:00
1674,06:02:00,06:05:00,06:58:00
1674,06:13:00,06:15:00,07:10:00
1674,06:24:00,06:33:00,07:21:00
1674,06:35:00,06:52:00,07:44:00
1674,06:46:00,07:11:00,07:55:00
1674,06:57:00,07:29:00,08:06:00
1674,07:08:00,07:47:00,08:18:00
1674,07:24:00,07:57:00,08:29:00
1674,07:35:00,08:06:00,08:40:00
1674,07:40:00,08:15:00,08:52:00
1674,07:46:00,08:25:00,09:03:00
1674,07:51:00,08:34:00,09:14:00
1674,07:57:00,08:43:00,09:26:00
1674,08:02:00,08:53:00,09:37:00
1674,08:08:00,09:02:00,09:48:00
1674,08:13:00,09:11:00,10:00:00
1674,08:19:00,09:20:00,10:11:00
1674,08:24:00,09:29:00,10:22:00
1674,08:30:00,09:39:00,10:34:00
1674,08:35:00,09:48:00,10:45:00
1674,08:41:00,09:57:00,10:56:00
1674,08:46:00,10:07:00,11:08:00
1674,08:52:00,10:16:00,11:19:00
1674,08:57:00,10:25:00,11:30:00
1674,09:02:00,10:35:00,11:42:00
1674,09:08:00,10:44:00,11:53:00
1674,09:13:00,10:53:00,12:04:00
1674,09:19:00,11:02:00,12:16:00
1674,09:24:00,11:11:00,12:27:00
1674,09:30:00,11:21:00,12:38:00
1674,09:35:00,11:30:00,12:50:00
1674,09:41:00,11:39:00,13:01:00
1674,09:46:00,11:49:00,13:12:00
1674,09:52:00,11:58:00,13:24:00
1674,09:57:00,12:07:00,13:35:00
1674,10:03:00,12:17:00,13:46:00
1674,10:08:00,12:26:00,13:58:00
1674,10:14:00,12:35:00,14:09:00
1674,10:19:00,12:44:00,14:20:00
1674,10:25:00,12:53:00,14:32:00
1674,10:30:00,13:03:00,14:43:00
1674,10:36:00,13:12:00,15:06:00
1674,10:41:00,13:21:00,15:28:00
1674,10:46:00,13:31:00,15:51:00
1674,10:52:00,13:40:00,16:14:00
1674,10:57:00,13:49:00,16:25:00
1674,11:03:00,13:59:00,16:36:00
1674,11:08:00,14:08:00,16:48:00
1674,11:14:00,14:17:00,17:10:00
1674,11:19:00,14:26:00,17:22:00
1674,11:25:00,14:45:00,17:33:00
1674,11:30:00,15:03:00,17:56:00
1674,11:36:00,15:22:00,18:07:00
1674,11:41:00,15:41:00,18:18:00
1674,11:47:00,15:59:00,18:30:00
1674,11:52:00,16:17:00,18:41:00
1674,11:58:00,16:27:00,18:52:00
1674,12:03:00,16:45:00,19:04:00
1674,12:09:00,17:04:00,19:15:00
1674,12:14:00,17:23:00,19:26:00
1674,12:20:00,17:41:00,19:38:00
1674,12:25:00,17:59:00,19:49:00
1674,12:30:00,18:09:00,20:00:00
1674,12:36:00,18:18:00,20:12:00
1674,12:41:00,18:27:00,20:23:00
1674,12:47:00,18:37:00,20:46:00
1674,12:52:00,18:46:00,21:08:00
1674,12:58:00,18:55:00,21:20:00
1674,13:03:00,19:05:00,21:42:00
1674,13:09:00,19:14:00,22:05:00
1674,13:14:00,19:23:00,22:28:00
1674,13:20:00,19:32:00,22:50:00
1674,13:25:00,19:41:00,23:22:00
1674,13:31:00,20:00:00,23:45:00
1674,13:36:00,20:20:00,00:08:00
1674,13:42:00,20:40:00,00:32:00
1674,13:47:00,21:00:00,
1674,13:53:00,21:20:00,
1674,13:58:00,21:30:00,
1674,14:04:00,21:40:00,
1674,14:09:00,22:00:00,
1674,14:14:00,22:20:00,
1674,14:20:00,22:40:00,
1674,14:25:00,23:00:00,
1674,14:31:00,23:20:00,
1674,14:42:00,23:40:00,
1674,14:53:00,00:00:00,
1674,15:04:00,00:20:00,
1674,15:15:00,00:40:00,
1674,15:26:00,,
1674,15:37:00,,
1674,15:48:00,,
1674,16:04:00,,
1674,16:15:00,,
1674,16:26:00,,
1674,16:37:00,,
1674,16:48:00,,
1674,16:59:00,,
1674,17:10:00,,
1674,17:21:00,,
1674,17:32:00,,
1674,17:37:00,,
1674,17:48:00,,
1674,17:53:00,,
1674,17:59:00,,
1674,18:04:00,,
1674,18:10:00,,
1674,18:15:00,,
1674,18:21:00,,
1674,18:26:00,,
1674,18:32:00,,
1674,18:37:00,,
1674,18:43:00,,
1674,18:48:00,,
1674,18:54:00,,
1674,18:59:00,,
1674,19:05:00,,
1674,19:10:00,,
1674,19:16:00,,
1674,19:21:00,,
1674,19:26:00,,
1674,19:32:00,,
1674,19:37:00,,
1674,19:43:00,,
1674,19:48:00,,
1674,19:54:00,,
1674,19:59:00,,
1674,20:05:00,,
1674,20:10:00,,
1674,20:16:00,,
1674,20:21:00,,
1674,20:27:00,,
1674,20:32:00,,
1674,20:38:00,,
1674,20:43:00,,
1674,20:49:00,,
1674,20:54:00,,
1674,21:00:00,,
1674,21:05:00,,
1674,21:10:00,,
1674,21:21:00,,
1674,21:32:00,,
1674,21:43:00,,
1674,21:54:00,,
1674,22:05:00,,
1674,22:16:00,,
1674,22:27:00,,
1674,22:38:00,,
1674,22:47:00,,
1674,22:52:00,,
1674,23:03:00,,
1674,23:14:00,,
1674,23:25:00,,
1674,23:36:00,,
1674,23:47:00,,
1674,23:58:00,,
1674,00:09:00,,
1674,00:20:00,,
1674,00:32:00,,
1681,05:34:00,05:48:00,
1681,06:19:00,06:28:00,
1681,06:36:00,06:40:00,
1681,07:10:00,06:56:00,
1681,07:29:00,07:12:00,
1681,07:48:00,07:28:00,
1681,08:07:00,07:44:00,
1681,08:26:00,08:00:00,
1681,08:45:00,08:16:00,
1681,09:04:00,08:34:00,
1681,09:23:00,08:52:00,
1681,09:42:00,09:08:00,
1681,10:01:00,09:26:00,
1681,10:22:00,09:44:00,
1681,10:42:00,10:00:00,
1681,10:58:00,10:18:00,
1681,11:22:00,10:36:00,
1681,11:42:00,10:52:00,
1681,11:55:00,11:10:00,
1681,12:14:00,11:28:00,
1681,12:28:00,11:44:00,
1681,12:42:00,12:02:00,
1681,12:56:00,12:20:00,
1681,13:10:00,12:36:00,
1681,13:24:00,12:54:00,
1681,13:38:00,13:12:00,
1681,13:52:00,13:27:00,
1681,14:06:00,13:42:00,
1681,14:20:00,,
1681,14:34:00,,
