"ID-recorrido","id-linea","nombre-linea","ida-vuelta","activo","route-trip","codigo-de-sub-ramal","descripcion","destino"
2349,3323,"G-01-019C",1,1,19193,19193,"019C-Lj.Ctro.Hue.SMt","019 - Lujan - Centro por Av. Libertad"
2350,3323,"G-01-019C",0,1,19193,19193,"019C-Lj.Ctro.Hue.SMt","019 - Centro - B. Huentota - Lujan por Av. Libertad"
2351,3321,"G-01-019A",1,1,19194,19194,"019A-Luj.Ctro.Drumm.","019 - Lujan - Centro por Drummond"
2352,3321,"G-01-019A",0,1,19194,19194,"019A-Luj.Ctro.Drumm.","019 - Centro - Lujan por Drummond"
2353,3324,"G-01-019EXP",1,1,19195,19195,"019EX-Exp.xS.Mt/Drm","019 - Expreso Drummond"
2354,3324,"G-01-019EXP",0,1,19195,19195,"019EX-Exp.xS.Mt/Drm","019 - Expreso por Drummond"
2355,3323,"G-01-019C",1,1,19196,19196,"019C-Lj.Ctro.Hue.SMt","019 - Lujan - Mendoza por San Martin"
2356,3323,"G-01-019C",0,1,19196,19196,"019C-Lj.Ctro.Hue.SMt","019 - Centro - Lujan por San Martin"
2357,3324,"G-01-019EXP",1,1,19197,19197,"019EX-Exp.xS.Mt/Drm","019 - Expreso por San Martin"
2358,3324,"G-01-019EXP",0,1,19197,19197,"019EX-Exp.xS.Mt/Drm","019 - Expreso por San Martin"
2359,3321,"G-01-019A",1,1,19198,19198,"019A-Luj.Ctro.Drumm.","019 - Lujan - PIP - Centro"
2360,3321,"G-01-019A",0,1,19198,19198,"019A-Luj.Ctro.Drumm.","019 - Centro - Lujan por San Martin"
2361,3323,"G-01-019C",1,1,19199,19199,"019C-Lj.Ctro.Hue.SMt","019 - Lujan Centro por San Martin"
2362,3323,"G-01-019C",0,1,19199,19199,"019C-Lj.Ctro.Hue.SMt","019 - Centro - Lujan - PIP"
2204,3260,"G-03-031",1,1,31111,31111,"031-CENTRO","NULL"
2317,3260,"G-03-031",0,1,31111,31111,"031-G.CRUZ.CENTRO","NULL"
2561,3260,"G-03-031",1,1,31112,31112,"031G.CRZ.CTO.S/C.GOB","NULL"
2562,3260,"G-03-031",0,1,31112,31112,"31G.CRUZ.PLAZA","NULL"
2207,3261,"G-03-032",1,1,32121,32121,"032-ESTANZUELA CNTRO","032-ESTANZUELA CNTRO"
2208,3261,"G-03-032",0,1,32121,32121,"032-ESTANZUELA","NULL"
2563,3261,"G-03-032",1,1,32122,32122,"032BES.XPASO.S/C.GOB","032BES.XPASO.S/C.GOB"
2564,3261,"G-03-032",0,1,32122,32122,"32EST.G.CRUZ","NULL"
2209,3262,"G-03-033",0,1,33131,33131,"033-GODOY CRUZ","NULL"
2210,3262,"G-03-033",1,1,33131,33131,"033-LAS HERAS","NULL"
2215,3263,"G-03-034A",1,1,34141,34141,"034-VIN.X OESTE.LAGO","NULL"
2216,3263,"G-03-034A",0,1,34141,34141,"34-GODOY CRUZ","NULL"
2218,3263,"G-03-034A",1,1,34142,34142,"034-VIN.ESTAN.LAGO.M","NULL"
2219,3263,"G-03-034A",0,1,34142,34142,"34.ESTANZUELA G.CRUZ","NULL"
2547,3263,"G-03-034A",0,1,34143,34143,"34VIN.X.OESTE.G.CRUZ","NULL"
2546,3264,"G-03-034B",1,1,34143,34143,"034B VIN.OESTE.S/UNC","NULL"
2558,3264,"G-03-034B",1,1,34144,34144,"034B VIN.B EST.S/UNC","NULL"
2559,3264,"G-03-034B",0,1,34144,34144,"034B VIN.B ESTA.GC","NULL"
2475,3264,"G-03-034B",1,1,34145,34145,"034B VIN.LAGO.B.FUCH","NULL"
2476,3264,"G-03-034B",0,1,34145,34145,"034B VIN.O.G.C.BFUCH","NULL"
2550,3264,"G-03-034B",1,1,34162,34162,"034B REF.VIN.UNC","NULL"
2551,3265,"G-03-034C",1,1,34163,34163,"034C REF.VIN.EST.L.A","NULL"
2552,3265,"G-03-034C",1,1,34164,34164,"034R.VIN.EST.LIC.CTO","NULL"
2553,3265,"G-03-034C",1,1,34165,34165,"034RE.VIN.O.LIC.UNC","NULL"
2211,3267,"G-03-035",1,1,35151,35151,"035-PABLO VI LIC UNC","NULL"
2212,3267,"G-03-035",0,1,35151,35151,"35-PABLO VI","NULL"
2548,3267,"G-03-035",1,1,35160,35160,"035 REF.LICEO","NULL"
2549,3267,"G-03-035",1,1,35161,35161,"035REF.B.PBLOV.CTROL","NULL"
2643,3366,"G-04-041",1,1,41112,41112,"041-Foec.xPza.Ctro","041 - Foecyt - Sarmiento x Plaza de Godoy Cruz - Estanzuela Directo"
2644,3366,"G-04-041",0,1,41112,41112,"041-Foec.xPza.Ctro","041 - Foecyt - Sarmiento x Plaza de Godoy Cruz - Estanzuela Directo"
2645,3366,"G-04-041",1,1,41113,41113,"041-Foec.xPza.Ctro","041 - Foecyt - Sarmiento por San Martin - Estanzuela por Plaza de Godoy Cruz"
2647,3366,"G-04-041",0,1,41113,41113,"041-Foec.xPza.Ctro","041 - Foecyt - Sarmiento por San Martin - Estanzuela por Plaza de Godoy Cruz"
2648,3366,"G-04-041",1,1,41114,41114,"041-Foec.Dir.Ctro.","041 - Foecyt - Sarmiento por San Martín - Estanzuela por Plaza de Godoy Cruz - B  Ruiseñor"
2649,3366,"G-04-041",0,1,41114,41114,"041-Foec.xPza.Ctro","041 - Foecyt - Sarmiento por San Martín - Estanzuela por Plaza de Godoy Cruz - B  Ruiseñor"
2650,3367,"G-04-042",1,1,42121,42121,"042-B.FuchsXPza.Ctro","042 - B  Fuchs por Plaza de Gody Cruz"
2651,3367,"G-04-042",0,1,42121,42121,"042-B.FuchsXPza.Ctro","042 - B  Fuchs por Plaza de Godoy Cruz"
2652,3368,"G-04-043",1,1,43131,43131,"043-Palmares.Centro","043 - Palmares x Italia - Centro - Palmares"
2653,3368,"G-04-043",0,1,43131,43131,"043-Palmares.Centro","043 - Palmares x Italia - Centro - Palmares"
2654,3369,"G-04-044",1,1,44141,44141,"044-ExpresoXP.Andes","044 - Expreso por Paso de Los Andes"
2656,3369,"G-04-044",0,1,44141,44141,"044-ExpresoXP.Andes","044 - Expreso por Paso de Los Andes"
2657,3370,"G-04-045",1,1,45151,45151,"045-Est.Directo.Ctro","045 - B  La Estanzuela por Plaza de Godoy Cruz - Centro - FoecYt"
2658,3370,"G-04-045",0,1,45151,45151,"045-Est.Directo.Ctro","045 - B  La Estanzuela por Plaza de Godoy Cruz - Centro - FoecYt"
2659,3370,"G-04-045",1,1,45152,45152,"045-Est-CtroDir/Ruis","045 - Estanzuela Directo - Centro - FoecYt"
2661,3370,"G-04-045",0,1,45152,45152,"045-EstCtro Dir/Ruis","045 - Estanzuela Directo - Centro - FoecYt"
2662,3370,"G-04-045",1,1,45154,45154,"045-EstCtroDir/Ruis ","045 - B  Ruiseñor - Estanzuela por San Martin - FOECyT"
2663,3370,"G-04-045",0,1,45154,45154,"045-EstCtro DirRuis","045 - B  Ruiseñor - Estanzuela por San Martin - FOECyT"
2664,3371,"G-04-046",1,1,46161,46161,"046-Mosc.Bombal.Ctro","046 - Mosconi - Bombal - Centro - Mosconi"
2666,3371,"G-04-046",0,1,46161,46161,"046-Ctro.Bombal.Mosc","046 - Mosconi - Bombal - Centro - Mosconi"
2667,3371,"G-04-046",1,1,46162,46162,"046-Mosc.Bombal.Ctro","046 - Expreso Mosconi por Paso de Los Andes"
2668,3371,"G-04-046",0,1,46162,46162,"046-Mosc.Bombal.Ctro","046 - Mosconi Expreso por Paso de Los Andes"
3159,3372,"G-04-047",1,1,47171,47171,"047-Vinculacion O-E","047 - Servicio Vinculacion Oeste - Este"
3161,3372,"G-04-047",0,1,47171,47171,"047-Vinculacion O-E","047 - Servicio Vinculacion Oeste - Este"
2363,3561,"G-05-051A",1,1,51111,51111,"051A S.ANA-PQUE","SANTA ANA - PARQUE SAN MARTIN"
2364,3561,"G-05-051A",0,1,51111,51111,"051A S.ANA-PQUE","NULL"
2366,3561,"G-05-051A",1,1,51112,51112,"051A S.ANA-PQUE","NULL"
2554,3561,"G-05-051A",0,1,51112,51112,"051A S.ANA-PQUE","NULL"
2380,3561,"G-05-051A",0,1,51113,51113,"051A S.ANA-PQUE","NULL"
2560,3561,"G-05-051A",1,1,51113,51113,"051A S.ANA-PQUE","NULL"
2867,3562,"G-05-051B",1,1,51191,51191,"051B S.ANA-SHOP-PQUE","NULL"
2868,3562,"G-05-051B",0,1,51191,51191,"051B S.ANA-SHOP-PQUE","NULL"
2865,3562,"G-05-051B",1,1,51192,51192,"051B S.ANA-SHOP-PQUE","NULL"
2866,3562,"G-05-051B",0,1,51192,51192,"051B S.ANA-SHOP-PQUE","NULL"
2381,3563,"G-05-052A",1,1,52114,52114,"052A MUN-SLNZO-C.GOB","NULL"
2382,3563,"G-05-052A",0,1,52114,52114,"052A MUN-SLNZO-C.GOB","NULL"
2571,3563,"G-05-052A",1,1,52115,52115,"052A MUN-SLNZO-C.GOB","NULL"
