"stop_id","stop_name","cliente","tipo","calle","numero","entre","EsCartelInt","Activo","stop_lat","stop_lon"
"M5529","34533","Sec.Trans. Mendoza","Poste","América",1101,"INDEPENDENCIA","No","Si",-33.034165402,-68.8667050099
"M5530","34534","Sec.Trans. Mendoza","Poste","Bufano",1151,"VERGARA","No","Si",-33.0339117164,-68.8684836303
"M5531","34535","Sec.Trans. Mendoza","Poste","Bufano",1252,"VERGARA","No","Si",-33.0338757384,-68.8684896653
"M5532","34536","Sec.Trans. Mendoza","Poste","América",1252,"INDEPENDENCIA","No","Si",-33.0339635882,-68.8667626774
"M5533","34537","Sec.Trans. Mendoza","Poste","Independencia",1100,"LAT.ACCESO SUR","No","Si",-33.0343133249,-68.8658568184
"M5534","34538","Sec.Trans. Mendoza","Poste","Ricchieri",802,"Picheuta","No","Si",-33.0324827883,-68.8691616628
"M5535","34539","Sec.Trans. Mendoza","Poste","Ricchieri",701,"Bufano","No","Si",-33.0326042159,-68.8696404372
"M5536","34540","Sec.Trans. Mendoza","Poste","América",1351,"PELLEGRINI","No","Si",-33.0325992254,-68.8661712503
"M5537","34541","Sec.Trans. Mendoza","Poste","América",1402,"PELLEGRINI","No","Si",-33.0323321969,-68.8660927957
"M5538","34542","Sec.Trans. Mendoza","Poste","América",1451,"LENCINAS","No","Si",-33.0315653987,-68.8658111638
"M5539","34543","Sec.Trans. Mendoza","Poste","Lencinas JN",1002,"AMERICA","No","Si",-33.0315312644,-68.8657805208
"M5540","34544","Sec.Trans. Mendoza","Poste","Lencinas JN",1052,"LATERAL ACCESO SUR","No","Si",-33.031850015,-68.8646694157
"M5541","34545","Sec.Trans. Mendoza","Poste","Lat. Acceso Sur",1002,"PELLEGRINI","No","Si",-33.0327374997,-68.8651251046
"M5542","34546","Sec.Trans. Mendoza","Poste","Lat. Acceso Sur",1099,"PELLEGRINI","No","Si",-33.0329674244,-68.8650929181
"M5543","34547","Sec.Trans. Mendoza","Poste","Lencinas JN",1099,"LAT.ACCESO SUR","No","Si",-33.0319570688,-68.8646861476
"M5544","34548","Sec.Trans. Mendoza","Poste","Anchorena",,"PESCARMONA","No","Si",-33.0230254488,-68.8659861048
"M5545","34549","Sec.Trans. Mendoza","Poste","Anchorena",,"ESPINA","No","Si",-33.0230625556,-68.8656897207
"M5546","34601","Sec.Trans. Mendoza","Poste","Sáenz Pena",1102,"R.SAENZ PEÑA","No","Si",-33.0351415572,-68.8948156152
"M5547","34602","Sec.Trans. Mendoza","Poste","Sáenz Pena",1101,"R.SAENZ PEÑA","No","Si",-33.0349881295,-68.8941909755
"M5548","34603","Sec.Trans. Mendoza","Poste","Sáenz Pena",1202,"R.SAENZ PEÑA","No","Si",-33.034651018,-68.8961516074
"M5549","34604","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"CIPOLLETTI","No","Si",-33.035318556,-68.9009650952
"M5550","34605","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"CIPOLLETTI","No","Si",-33.0389876145,-68.9056938297
"M5551","34606","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"CIPOLLETTI","No","Si",-33.0379746616,-68.9044660485
"M5552","34607","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"CIPOLLETTI","No","Si",-33.0437840863,-68.9141186482
"M5553","34608","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0453871615,-68.9207041419
"M5554","34609","Sec.Trans. Mendoza","Poste","Cipolletti C.",,"SIN NOMBRE","No","Si",-33.0460712138,-68.9233072257
