trip_id,id,nombre,codigo,descripcion,destino,ida-vuelta,activo,trip_headsign
2359,3321,G-01-019A,19198,019A-Luj.Ctro.Drumm.,019 - Lujan - PIP - Centro,1,1,CENTRO
2360,3321,G-01-019A,19198,019A-Luj.Ctro.Drumm.,019 - Centro - Lujan por San Martin,0,1,CONTROL LUJAN
2361,3323,G-01-019C,19199,019C-Lj.Ctro.Hue.SMt,019 - Lujan Centro por San Martin,1,1,CENTRO
2362,3323,G-01-019C,19199,019C-Lj.Ctro.Hue.SMt,019 - Centro - Lujan - PIP,0,1,CONTROL LUJAN
2204,3260,G-03-031,31111,031-CENTRO,NULL,1,1,CENTRO
2317,3260,G-03-031,31111,031-G.CRUZ.CENTRO,NULL,0,1,GODOY.CRUZ
2561,3260,G-03-031,31112,031G.CRZ.CTO.S/C.GOB,NULL,1,1,CENTRO
2562,3260,G-03-031,31112,31G.CRUZ.PLAZA,NULL,0,1,GODOY CRUZ
2207,3261,G-03-032,32121,032-ESTANZUELA CNTRO,032-ESTANZUELA CNTRO,1,1,CENTRO
2208,3261,G-03-032,32121,032-ESTANZUELA,NULL,0,1,ESTANZUELA G.CRUZ
2563,3261,G-03-032,32122,032BES.XPASO.S/C.GOB,032BES.XPASO.S/C.GOB,1,1,CENTRO
2564,3261,G-03-032,32122,32EST.G.CRUZ,NULL,0,1,GODOY CRUZ
2209,3262,G-03-033,33131,033-GODOY CRUZ,NULL,0,1,GODOY CRUZ
2210,3262,G-03-033,33131,033-LAS HERAS,NULL,1,1,LAS HERAS
2215,3263,G-03-034A,34141,034-VIN.X OESTE.LAGO,NULL,1,1,HOSPITAL LAGOMAGGIORE
2216,3263,G-03-034A,34141,34-GODOY CRUZ,NULL,0,1,GODOY CRUZ
2218,3263,G-03-034A,34142,034-VIN.ESTAN.LAGO.M,NULL,1,1,UNC LAGO MAGGIORE
2219,3263,G-03-034A,34142,34.ESTANZUELA G.CRUZ,NULL,0,1,ESTANZULA GODOY CRUZ
2546,3264,G-03-034B,34143,034B VIN.OESTE.S/UNC,NULL,1,1,HSPTAL. LAGOMAGGIORE
2547,3263,G-03-034A,34143,34VIN.X.OESTE.G.CRUZ,NULL,0,1,GODOY CRUZ
2558,3264,G-03-034B,34144,034B VIN.B EST.S/UNC,NULL,1,1,HSPTAL. LAGOMAGGIORE
2559,3264,G-03-034B,34144,034B VIN.B ESTA.GC,NULL,0,1,GODOY CRUZ
2475,3264,G-03-034B,34145,034B VIN.LAGO.B.FUCH,NULL,1,1,HSPTAL. LAGOMAGGIORE
2476,3264,G-03-034B,34145,034B VIN.O.G.C.BFUCH,NULL,0,1,GODOY CRUZ
2550,3264,G-03-034B,34162,034B REF.VIN.UNC,NULL,1,1,UNC
2551,3265,G-03-034C,34163,034C REF.VIN.EST.L.A,NULL,1,1,LICEO AGRICOLA
2552,3265,G-03-034C,34164,034R.VIN.EST.LIC.CTO,NULL,1,1,CONTROL
2553,3265,G-03-034C,34165,034RE.VIN.O.LIC.UNC,NULL,1,1,UNC
2211,3267,G-03-035,35151,035-PABLO VI LIC UNC,NULL,1,1,HOSPITAL LAGOMAGGIORE
2212,3267,G-03-035,35151,35-PABLO VI,NULL,0,1,B° PABLO VI
2548,3267,G-03-035,35160,035 REF.LICEO,NULL,1,1,UNC
2549,3267,G-03-035,35161,035REF.B.PBLOV.CTROL,NULL,1,1,CONTROL
2643,3366,G-04-041,41112,041-Foec.xPza.Ctro,041 - Foecyt - Sarmiento x Plaza de Godoy Cruz - Estanzuela Directo,1,1,CENTRO
2644,3366,G-04-041,41112,041-Foec.xPza.Ctro,041 - Foecyt - Sarmiento x Plaza de Godoy Cruz - Estanzuela Directo,0,1,CONTROL TRAPICHE
2645,3366,G-04-041,41113,041-Foec.xPza.Ctro,041 - Foecyt - Sarmiento por San Martin - Estanzuela por Plaza de Godoy Cruz,1,1,CENTRO
2647,3366,G-04-041,41113,041-Foec.xPza.Ctro,041 - Foecyt - Sarmiento por San Martin - Estanzuela por Plaza de Godoy Cruz,0,1,CONTROL TRAPICHE
