trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,card_code,active
2109,16,,A M.Hoyos Belg,62 MATHUS HOYOS BELGRANO SIN CASA DE GOBIERNO,1,2109,121,True
1904,16,,B H.Moral H.Unc,62 MATHUS HOYOS SEGUNDO CALLEJON MORALES HOSPITAL UNIVERSIDAD NACIONAL CUYO SIN CASA DE GOBIERNO,1,1904,125,True
1905,16,,A M.Hoy.Mor.Ctrol,62 MATHUS HOYOS SEGUNDO CALLEJÓN MORALES,0,1905,125,True
1915,16,,B Mhosp.Unc C.G,62 MATHUS HOYOS SEGUNDO CALLEJÓN MORALES HOSPITAL UNIVERSIDAD NACIONAL DE CUYO CASA DE GOBIERNO,1,1915,126,True
1916,16,,B M.H Mor.Ctrol,62 MATHUS HOYOS SEGUNDO CALLEJÓN MORALES CONTROL GRUPO 6,0,1916,126,True
3347,16,,B M.H.Moh.Unc C.G,NULL,1,3347,126,False
2187,16,,B Mho Hosp. S/Cg,NULL,1,2187,128,True
2188,16,,B Mhoy H.Pira Scg,NULL,0,2188,128,True
2110,16,,C M.H.Seur B.S.M.,62 MATHUS HOYOS HOSPITAL SIN EUREKA POR B. S. MER SIN CASA DE GOBIERNO,1,2110,129,True
2133,16,,C M.H.Seurek Sc.G,62 MATHUS HOYOS HOSPITAL SIN EUREKA SIN CASA DE GOBIERNO,0,2133,129,True
1917,17,,A I.Patri Sin C.G,63 INDEPENDENCIA PATRICIA SIN CASA DE GOBIERNO,1,1917,131,True
1948,17,,A Indep.Control,63 INDEPENDENCIA CONTROL,0,1948,131,True
1919,17,,A Ind.Patri C.Gob,63 INDEPENDENCIA PATRICIAS CASA DE GOBIERNO,1,1919,132,True
1950,17,,A Indep.Control,63 INDEPENDENCIA CONTROL,0,1950,132,True
1920,17,,B Ind.Aer.Sin C.G,63 INDEPENDENCIA AEROPUERTO SIN CASA DE GOBIERNO,1,1920,133,True
1949,17,,B Aerop.Control,63 AEROPUERTO CONTROL,0,1949,133,True
1947,17,,B Ind.Aerop.C.Gob,63 INDEPENDENCIA AEROPUERTO CON CASA DE GOBIERNO,1,1947,134,True
1951,17,,B Ind.Aer.Ctrol,63 INDEPENDENCIA AEROPUERTO CONTROL,0,1951,134,True
2203,17,,B Inep.Hosp.S.Cg,INDEPENDENCIA,1,2203,135,True
2768,17,,B Ind.Hosp Sin Cg,INDEPENDENCIA HOSPITAL SIN C GOB.,0,2768,135,True
2806,17,,C Ind.Hosp.S.Cg,INDEPEDENCIA-HOSPITAL-SIN EUREKA-SIN CASA DE GOBIERNO,1,2806,136,True
2807,17,,C Indp H.S/Cg Bsm,NULL,0,2807,136,True
2811,17,,C Ind.H Unc C.Cg,NULL,1,2811,138,True
2814,17,,C Ind.H Unc C/Cg,NULL,0,2814,138,True
2494,17,,D Ind.Patr S.Cg,INDEPENDENCIA PATRICICAS SIN CASA DE GOBIERNO CON PARQUE INDUSTRIAL,1,2494,143,True
2543,17,,D Ind.Pc.Cg C.Pi,INDEPENDENCIA PATRICIAS SIN CASA DE GOBIERNO CON  PARQUE INDUSTRIAL,0,2543,143,True
2885,17,,A Ind.Patr.Scgpi,63 INDEPENDENCIA PATRICIA PARQUE INDUSTRIAL SIN CASA DE GOBIERNO,1,2885,144,True
2889,17,,A Ind.Patr.Cgpi,63 INDEPENDENCIA PATRICIA PARQUE INDUSTRIAL CASA DE GOBIERNO ,0,2889,144,True
2292,18,,A Ujemvi S/C.Gob,B  UJEMVI SIN CASA DE GOBIERNO,1,2292,141,True
2368,18,,A Ujemvi S/C.Gob,B UJEMVI SIN CASA DE GOBIERNO,0,2368,141,True
2485,18,,A Ujemvi C/C.Gob,B UJEMVI CON CASA DE GOBIERNO,0,2485,142,True
2880,18,,A Ujemvi C/C.Gob,64 UJENVI CON CASA DE GOBIERNO,1,2880,142,True
2819,19,,A 1 De Mayo,1 DE MAYO,1,2819,151,True
2823,19,,A 1 De Mayo,1 DE MAYO,0,2823,151,True
2675,20,,A Dor Matheu-S/Cg,DORR-MATHEU-S/CG,1,2675,161,True
2887,20,,A Dor-Matheu-S/Cg,066A DORREGO MATHIU SIN CASA DE GOBIERNO,0,2887,161,True
2610,20,,66 Dorr-Matheu-C/Cg,DORREGO-MATHEU-CON CASA DE GOBIERNO,1,2610,162,True
2611,20,,A Dor-Matheu-S/Cg,DORREGO-MATHEU CON CASA DE GOBIERNO,0,2611,162,True
2624,21,,A Exp Dorr S/Cg,67 EXPRESO DORREGO SIN CASA DE GOBIERNO,1,2624,171,True
2629,21,,A Exp Dorr S/Cg,67 EXPRESO DORREGO SIN CASA DE GOBIERNO,0,2629,171,True
2574,21,,A Exp-Dor C/Cgob,67 EXPRESO DORREGO CON CASA DE GOBIERNO,1,2574,172,True
2575,21,,A Exp Dor C/Cgob,67 EXPRESO DORREGO CON CASA DE GOBIERNO,0,2575,172,True
2528,22,,A Ortiz S/Cg,ORTIZ SIN CASA DE GOBIERNO,0,2528,181,True
2529,22,,A Ortiz S/Cg,ORTIZ SIN CASA DE GOBIERNO,1,2529,181,True
2526,22,,A Ortiz C/Cg,68 ORTIZ CON CASA DE GOBIERNO ,1,2526,182,True
2527,22,,A Ortiz C/Cg,68 ORTIZ CON CASA DE GOBIERNO ,0,2527,182,True
2134,23,,A Hosp. Notti,069A HOSP. NOTTI,1,2134,191,True
2135,23,,A Hosp. Notti,069A HOSP. NOTTI,0,2135,191,True
2191,23,,Muni Las Her,MUNICIPALIDAD LAS HERAS,1,2191,192,True
2192,23,,Muni Las Heras,NULL,0,2192,192,True
2421,24,,A Gllen-G.Cxter,NULL,1,2421,134,True
2422,24,,A Gllen-G.Cxter,NULL,0,2422,134,True
2874,24,,A Gllen-G.Cxter,NULL,1,2874,135,True
2875,24,,A Gllen-G.Cxter,NULL,0,2875,135,True
2425,24,,B Gllen-Gc-Gobxob,NULL,1,2425,136,True
2426,24,,B Gllen-Gc-Gobxob,NULL,0,2426,136,True
2881,24,,B Gllen-Gc-Gobxob,NULL,1,2881,137,True
2882,24,,B Gllen-Gc-Gobxob,NULL,0,2882,137,True
2429,25,,C S.Ign-Ter-Cgob,NULL,1,2429,138,True
2430,25,,C S.Ign-Ter-C.Gob,NULL,0,2430,138,True
2896,25,,C S.Ign-Ter-C.Gob,NULL,1,2896,139,True
2897,25,,C S.Ign-Ter-C.Gob,NULL,0,2897,139,True
2435,25,,F S.Ign Colon Gob,NULL,1,2435,140,True
2436,25,,F S.Ign-Colon-Gob,NULL,0,2436,140,True
2899,25,,F S.Ign-Colon-Gob,NULL,1,2899,141,True
2900,25,,F S.Ign-Colon-Gob,NULL,0,2900,141,True
3014,26,,A B°Supe/Jud/C.G.,NULL,1,3014,142,True
2439,26,,A B°Supe/Jud/C.G.,NULL,1,2439,143,True
2442,26,,A B°Supe-Jud-C.G.,NULL,0,2442,144,True
2906,26,,B B°Supe/Jud/C.G.,NULL,0,2906,145,True
3013,26,,B B°Supe/Jud/C.G.,NULL,1,3013,242,True
3016,26,,B B°Supe/Jud/C.G.,NULL,1,3016,243,True
3020,26,,C B°Supe-Jud-C.G.,NULL,0,3020,244,True
3022,26,,C B°Supe/Jud-C.G.,NULL,0,3022,245,True
