stop_id,stop_code,stop_desc,stop_name,stop_lat,stop_lon,stop_calle,stop_numero,stop_entre,stop_esquina
9442,M9442,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9443,M9443,,Carril Nacional 702,-32.9308743021,-68.7320882269,Carril Nacional,702,X,
9444,M9444,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9445,M9445,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9446,M9446,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9447,M9447,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9448,M9448,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9449,M9449,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9450,M9450,,Dr. Favarolo 702,-32.8815953454,-68.759744484,Dr. Favarolo,702,X,
9451,M9451,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9452,M9452,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9453,M9453,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9454,M9454,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9455,M9455,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9456,M9456,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9457,M9457,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9458,M9458,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9459,M9459,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9460,M9460,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9461,M9461,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9462,M9462,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9463,M9463,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9464,M9464,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9465,M9465,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9466,M9466,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9467,M9467,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9468,M9468,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9469,M9469,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9470,M9470,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9471,M9471,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9472,M9472,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9473,M9473,,Avenida Mathus Hoyos 702,-32.8728687159,-68.7538865395,Avenida Mathus Hoyos,702,X,
9474,M9474,,Avenida Mathus Hoyos 702,-32.8727650905,-68.7535700389,Avenida Mathus Hoyos,702,X,
9475,M9475,,Avenida Mathus Hoyos 702,-32.87251729,-68.7548709102,Avenida Mathus Hoyos,702,X,
9476,M9476,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9477,M9477,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9478,M9478,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9479,M9479,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9480,M9480,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9481,M9481,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9482,M9482,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9483,M9483,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9484,M9484,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9485,M9485,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9486,M9486,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9487,M9487,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9488,M9488,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9489,M9489,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9490,M9490,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9491,M9491,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9492,M9492,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9493,M9493,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9494,M9494,,El Zorzal 2100,-32.8846564452,-68.7567377277,El Zorzal,2100,La Golondrina,
9495,M9495,,Tirasso 3200,-32.8839897246,-68.7573358603,Tirasso,3200,X,
9496,M9496,,Tirasso 3699,-32.8826472584,-68.7584436127,Tirasso,3699,X,
9497,M9497,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9498,M9498,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9499,M9499,,Ruta Provincial 180 702,-35.1013712339,-68.7624374219,Ruta Provincial 180,702,X,
9500,M9500,,Avenida Gdor. Ricardo Videla 3000,-32.894112928,-68.831055034,Avenida Gdor. Ricardo Videla,3000,Av. Bandera de los Andes,
9502,M9502,,San José 1699,-32.8686307397,-68.878401419,San José,1699,Dr. Carillo,
9503,M9503,,Avenida Champagnat 2600,-32.8536779229,-68.8908830472,Avenida Champagnat,2600,100,
9505,M9505,,Cerro Almacenes 2999,-32.8525715883,-68.8938602992,Cerro Almacenes,2999,100,
9507,M9507,,Cerro Chimenea 2401,-32.8586078162,-68.9044228383,Cerro Chimenea,2401,600,
9508,M9508,,Cerro Chimenea 2401,-32.8590133711,-68.9060643502,Cerro Chimenea,2401,480,
9509,M9509,,Cerro Arco 2401,-32.8591395433,-68.9095512219,Cerro Arco,2401,600,
9510,M9510,,Cerro Arco 2401,-32.8595676264,-68.9142075368,Cerro Arco,2401,890,
9511,M9511,,Ruta Provincial 13 2401,-32.8652992348,-68.92708214,Ruta Provincial 13,2401,680,
9512,M9512,,Ruta Nacional 188,-34.977779,-67.672413,Ruta Nacional 188,,Silvio Triccerri,
9513,M9513,,Ruta Nacional 188,-34.978076,-67.623296,Ruta Nacional 188,,Pública Nº 10,
9514,M9514,,Ruta Nacional 188,-34.978225,-67.673026,Ruta Nacional 188,,Silvio Triccerri,
9515,M9515,,Intendente Morales,-34.9789468577,-67.6939191521,Intendente Morales,,Independencia,
9516,M9516,,Intendente Morales,-34.979216,-67.6898,Intendente Morales,,Av. Libertador Sur,
9739,M9739,,Viamonte,-33.0212259332,-68.8843599149,Viamonte,,Viamonte,
9517,M9517,,Av. Libertador Norte,-34.976758,-67.689149,Av. Libertador Norte,,Aristóbulo del Valle,
9518,M9518,,Av. Libertador Norte,-34.973256,-67.689141,Av. Libertador Norte,,9 de Julio,
9520,M9520,,Av. Libertador Norte,-34.968635,-67.68948,Av. Libertador Norte,,Uspallata,
9521,M9521,,Av. Libertador Norte,-34.97322,-67.689493,Av. Libertador Norte,,Roque Saenz peña,
9522,M9522,,Roque Saenz Peña,-34.973346,-67.6939,Roque Saenz Peña,,Ingeniero Lange,
9523,M9523,,Olascoaga,-34.97443,-67.6970636442,Olascoaga,,Mitre,
9524,M9524,,Olascoaga,-34.977134,-67.697052,Olascoaga,,Av. Alvear Oeste,
9525,M9525,,Sarmiento,-34.979046,-67.697082,Sarmiento,,Intendente Morales,
9526,M9526,,Av. Libertador Norte,-34.960198,-67.689183,Av. Libertador Norte,,M. Artola,
9527,M9527,,Ruta Nacional 143,-34.959283,-67.69003,Ruta Nacional 143,,M. Artola,
9528,M9528,,Ruta Nacional 143,-34.952683,-67.693991,Ruta Nacional 143,,Ingeniero Lange,
9529,M9529,,Ruta Nacional 143,-34.941832,-67.701284,Ruta Nacional 143,,Calle E,
9530,M9530,,Ruta Nacional 143,-34.940946,-67.702061,Ruta Nacional 143,,Calle E,
9531,M9531,,Ruta Nacional 143,-34.903065,-67.730498,Ruta Nacional 143,,Fenoy,
9532,M9532,,Ruta Nacional 143,-34.902727,-67.731511,Ruta Nacional 143,,Fenoy,
9533,M9533,,Ruta Nacional 143,-34.897646,-67.74217,Ruta Nacional 143,,Ruta Provincial 171,
9534,M9534,,Ruta Nacional 143,-34.952396,-67.694703,Ruta Nacional 143,,Ingeniero Lange,
9535,M9535,,Ruta Provincial 171,-34.883381,-67.752167,Ruta Provincial 171,,los Brasileros,
9536,M9536,,Ruta Provincial 171,-34.883636,-67.752119,Ruta Provincial 171,,Ruta Provincial 143,
9537,M9537,,Ruta Provincial 171,-34.873243,-67.758991,Ruta Provincial 171,,Rincón del Indio,
9538,M9538,,Ruta Provincial 171,-34.872466,-67.759624,Ruta Provincial 171,,Rincón del Indio,
9539,M9539,,Ruta Provincial 171,-34.869093,-67.76099,Ruta Provincial 171,,Brasileros,
9540,M9540,,Ruta Provincial 171,-34.868988,-67.761111,Ruta Provincial 171,,Rincón del Indio,
9887,M9887,,Seru 1251,-32.8884134122,-68.7616193481,Seru,1251,X,
9541,M9541,,Ruta Provincial 171,-34.859937,-67.765233,Ruta Provincial 171,,Río Negro,
9542,M9542,,Ruta Provincial 171,-34.858808,-67.765935,Ruta Provincial 171,,Brasileros,
9543,M9543,,Ruta Provincial 171,-34.853143,-67.768556,Ruta Provincial 171,,Río Negro,
9544,M9544,,Ruta Provincial 180,-34.8531,-67.768697,Ruta Provincial 180,,Brasileros,
9545,M9545,,Ruta Provincial 171,-34.847862,-67.771036,Ruta Provincial 171,,Río Negro,
9546,M9546,,Río Negro,-34.847569,-67.771019,Río Negro,,Chaco,
9547,M9547,,Ruta Provincial 180,-34.847645,-67.7709,Ruta Provincial 180,,Formosa,
9548,M9548,,Formosa,-34.844267,-67.771682,Formosa,,Malvinas Argentinas,
9549,M9549,,Formosa,-34.84214,-67.772691,Formosa,,Misiones,
9550,M9550,,Misiones,-34.840296,-67.76749,Misiones,,Santa Fe,
9551,M9551,,Ruta Provincial 171,-34.836228,-67.765323,Ruta Provincial 171,,Los Andes,
9552,M9552,,Ruta Provincial 171,-34.83621,-67.765488,Ruta Provincial 171,,Chubut,
9553,M9553,,Los Andes,-34.834142,-67.759995,Los Andes,,La Rioja,
9554,M9554,,La Rioja,-34.834935,-67.75941,La Rioja,,Chubut,
9555,M9555,,La Rioja,-34.838255,-67.757868,La Rioja,,Av. San Martín,
9556,M9556,,La Rioja,-34.840248,-67.756894,La Rioja,,Neuquén,
9557,M9557,,Río Negro,-34.842726,-67.756573,Río Negro,,Salta,
9558,M9558,,Río Negro,-34.843726,-67.759541,Río Negro,,Ruta Provincial 171,
9559,M9559,,Río Negro,-34.8492,-67.776415,Río Negro,,Ruta Nacional 143,
9560,M9560,,Río Negro,-34.850935,-67.781818,Río Negro,,Ruta Nacional 143,
9561,M9561,,Río Negro,-34.851172,-67.781906,Río Negro,,Ruta Provincial 171,
9562,M9562,,Río Negro,-34.84937,-67.776205,Río Negro,,Ruta Provincial 171,
9563,M9563,,Río Negro,-34.854245,-67.792153,Río Negro,,Ruta Nacional 143,
9564,M9564,,Ruta Nacional 143,-34.860627,-67.782844,Ruta Nacional 143,,Rincón del Indio,
9565,M9565,,Ruta Nacional 143,-34.860597,-67.782707,Ruta Nacional 143,,Río Negro,
9566,M9566,,Ruta Nacional 143,-34.863677,-67.780312,Ruta Nacional 143,,Rincón del Indio,
9567,M9567,,Ruta Nacional 143,-34.863864,-67.779751,Ruta Nacional 143,,Río Negro,
9568,M9568,,Ruta Nacional 143,-34.876068,-67.768958,Ruta Nacional 143,,Rincón del Indio,
9954,M9954,,Higuerita,-32.8895778595,-68.7617802807,Higuerita,,X,
9569,M9569,,Ruta Nacional 143,-34.876483,-67.768132,Ruta Nacional 143,,Río Negro,
