"trip_id","service_id","start_time"
"1638","D","22:57:00"
"1638","H","16:44:00"
"1638","S","21:00:00"
"1638","D","23:15:00"
"1638","H","16:54:00"
"1638","S","21:12:00"
"1638","D","23:51:00"
"1638","H","17:08:00"
"1638","S","21:24:00"
"1638","D","00:27:00"
"1638","H","17:16:00"
"1638","S","21:46:00"
"1638","D","01:03:00"
"1638","H","17:25:00"
"1638","S","22:08:00"
"1638","H","17:33:00"
"1638","S","22:30:00"
"1638","H","17:42:00"
"1638","S","22:50:00"
"1638","H","17:50:00"
"1638","S","23:10:00"
"1638","H","17:59:00"
"1638","S","23:30:00"
"1638","H","18:07:00"
"1638","S","23:50:00"
"1638","H","18:16:00"
"1638","S","00:10:00"
"1638","H","18:24:00"
"1638","S","00:50:00"
"1638","H","18:33:00"
"1638","H","18:41:00"
"1638","H","18:50:00"
"1638","H","18:58:00"
"1638","H","19:07:00"
"1638","H","19:16:00"
"1638","H","19:25:00"
"1638","H","19:34:00"
"1638","H","19:43:00"
"1638","H","19:52:00"
"1638","H","20:01:00"
"1638","H","20:10:00"
"1638","H","20:19:00"
"1638","H","20:28:00"
"1638","H","20:37:00"
"1638","H","20:46:00"
"1638","H","20:58:00"
"1638","H","21:13:00"
"1638","H","21:22:00"
"1638","H","21:36:00"
"1638","H","21:48:00"
"1638","H","22:00:00"
"1638","H","22:12:00"
"1638","H","22:33:00"
"1638","H","22:48:00"
"1638","H","23:00:00"
"1638","H","23:20:00"
"1638","H","23:40:00"
"1638","H","00:00:00"
"1638","H","00:18:00"
"1638","H","00:55:00"
"1642","H","05:20:00"
"1642","S","05:42:00"
"1642","D","06:14:00"
"1642","H","05:46:00"
"1642","S","06:12:00"
"1642","D","06:39:00"
"1642","H","05:56:00"
"1642","S","06:42:00"
"1642","D","07:04:00"
"1642","H","06:16:00"
"1642","S","06:58:00"
"1642","D","07:30:00"
"1642","H","06:26:00"
"1642","S","07:12:00"
"1642","D","07:57:00"
"1642","H","06:35:00"
"1642","S","07:32:00"
"1642","D","08:27:00"
"1642","H","06:44:00"
"1642","S","07:44:00"
"1642","D","08:42:00"
"1642","H","06:53:00"
"1642","S","07:56:00"
"1642","D","08:57:00"
"1642","H","07:02:00"
"1642","S","08:07:00"
"1642","D","09:12:00"
"1642","H","07:10:00"
"1642","S","08:18:00"
"1642","D","09:27:00"
"1642","H","07:18:00"
"1642","S","08:29:00"
"1642","D","09:42:00"
"1642","H","07:26:00"
"1642","S","08:40:00"
"1642","D","09:57:00"
"1642","H","07:34:00"
"1642","S","08:51:00"
"1642","D","10:12:00"
"1642","H","07:42:00"
"1642","S","09:02:00"
"1642","D","10:27:00"
"1642","H","07:50:00"
"1642","S","09:13:00"
"1642","D","10:42:00"
"1642","H","07:58:00"
"1642","S","09:24:00"
"1642","D","10:57:00"
"1642","H","08:06:00"
"1642","S","09:35:00"
"1642","D","11:12:00"
"1642","H","08:14:00"
"1642","S","09:46:00"
"1642","D","11:27:00"
"1642","H","08:22:00"
"1642","S","09:57:00"
"1642","D","11:42:00"
"1642","H","08:30:00"
"1642","S","10:08:00"
"1642","D","11:57:00"
"1642","H","08:38:00"
"1642","S","10:19:00"
"1642","D","12:12:00"
"1642","H","08:46:00"
"1642","S","10:30:00"
"1642","D","12:27:00"
"1642","H","08:54:00"
"1642","S","10:41:00"
"1642","D","12:42:00"
"1642","H","09:02:00"
"1642","S","10:52:00"
"1642","D","12:57:00"
"1642","H","09:10:00"
"1642","S","11:03:00"
"1642","D","13:12:00"
"1642","H","09:18:00"
"1642","S","11:14:00"
"1642","D","13:27:00"
"1642","H","09:26:00"
"1642","S","11:25:00"
"1642","D","13:42:00"
"1642","H","09:34:00"
"1642","S","11:36:00"
"1642","D","13:57:00"
"1642","H","09:42:00"
"1642","S","11:47:00"
"1642","D","14:12:00"
"1642","H","09:50:00"
"1642","S","11:58:00"
"1642","D","14:27:00"
"1642","H","09:58:00"
"1642","S","12:09:00"
"1642","D","14:42:00"
"1642","H","10:06:00"
"1642","S","12:20:00"
"1642","D","14:57:00"
"1642","H","10:14:00"
"1642","S","12:31:00"
"1642","D","15:12:00"
"1642","H","10:22:00"
"1642","S","12:42:00"
"1642","D","15:27:00"
"1642","H","10:30:00"
"1642","S","12:53:00"
"1642","D","15:42:00"
"1642","H","10:38:00"
"1642","S","13:04:00"
"1642","D","15:57:00"
"1642","H","10:46:00"
"1642","S","13:15:00"
"1642","D","16:12:00"
"1642","H","10:54:00"
"1642","S","13:26:00"
"1642","D","16:27:00"
"1642","H","11:02:00"
"1642","S","13:37:00"
"1642","D","16:42:00"
"1642","H","11:10:00"
"1642","S","13:48:00"
"1642","D","16:57:00"
"1642","H","11:18:00"
"1642","S","13:59:00"
"1642","D","17:12:00"
"1642","H","11:26:00"
"1642","S","14:10:00"
"1642","D","17:27:00"
"1642","H","11:34:00"
"1642","S","14:21:00"
"1642","D","17:42:00"
"1642","H","11:42:00"
"1642","S","14:32:00"
"1642","D","17:57:00"
"1642","H","11:50:00"
"1642","S","14:43:00"
"1642","D","18:12:00"
"1642","H","11:58:00"
"1642","S","14:54:00"
"1642","D","18:27:00"
"1642","H","12:06:00"
"1642","S","15:05:00"
"1642","D","18:42:00"
"1642","H","12:14:00"
"1642","S","15:16:00"
"1642","D","18:57:00"
"1642","H","12:22:00"
"1642","S","15:27:00"
"1642","D","19:12:00"
"1642","H","12:30:00"
"1642","S","15:38:00"
"1642","D","19:27:00"
"1642","H","12:38:00"
"1642","S","15:49:00"
"1642","D","19:42:00"
"1642","H","12:46:00"
"1642","S","16:00:00"
"1642","D","19:57:00"
"1642","H","12:54:00"
"1642","S","16:11:00"
"1642","D","20:12:00"
"1642","H","13:02:00"
"1642","S","16:22:00"
"1642","D","20:27:00"
"1642","H","13:10:00"
"1642","S","16:33:00"
"1642","D","20:42:00"
"1642","H","13:18:00"
"1642","S","16:44:00"
"1642","D","20:57:00"
"1642","H","13:26:00"
"1642","S","16:55:00"
"1642","D","21:12:00"
"1642","H","13:34:00"
"1642","S","17:06:00"
"1642","D","21:27:00"
"1642","H","13:42:00"
"1642","S","17:17:00"
"1642","D","21:42:00"
"1642","H","13:50:00"
"1642","S","17:28:00"
"1642","D","21:57:00"
"1642","H","13:58:00"
"1642","S","17:39:00"
"1642","D","22:12:00"
"1642","H","14:12:00"
"1642","S","17:50:00"
"1642","D","22:42:00"
"1642","H","14:22:00"
"1642","S","18:01:00"
"1642","D","23:10:00"
"1642","H","14:30:00"
"1642","S","18:12:00"
"1642","D","23:38:00"
"1642","H","14:38:00"
"1642","S","18:23:00"
"1642","D","00:06:00"
"1642","H","14:48:00"
"1642","S","18:34:00"
"1642","D","00:34:00"
"1642","H","15:06:00"
"1642","S","18:45:00"
"1642","D","01:02:00"
"1642","H","15:14:00"
"1642","S","18:56:00"
"1642","H","15:24:00"
"1642","S","19:07:00"
"1642","H","15:40:00"
"1642","S","19:18:00"
"1642","H","15:52:00"
"1642","S","19:29:00"
"1642","H","16:04:00"
"1642","S","19:40:00"
"1642","H","16:16:00"
"1642","S","19:51:00"
"1642","H","16:28:00"
"1642","S","20:02:00"
"1642","H","16:40:00"
"1642","S","20:13:00"
"1642","H","16:52:00"
"1642","S","20:24:00"
"1642","H","17:04:00"
"1642","S","20:35:00"
"1642","H","17:16:00"
"1642","S","20:46:00"
"1642","H","17:28:00"
"1642","S","20:57:00"
"1642","H","17:34:00"
"1642","S","21:08:00"
"1642","H","17:40:00"
"1642","S","21:19:00"
"1642","H","17:52:00"
"1642","S","21:41:00"
"1642","H","17:58:00"
"1642","S","21:52:00"
"1642","H","18:04:00"
"1642","S","22:11:00"
"1642","H","18:12:00"
"1642","S","22:41:00"
"1642","H","18:20:00"
"1642","S","23:11:00"
"1642","H","18:28:00"
"1642","S","23:41:00"
"1642","H","18:36:00"
"1642","S","00:09:00"
"1642","H","18:44:00"
"1642","S","00:37:00"
"1642","H","18:52:00"
"1642","S","01:05:00"
"1642","H","19:00:00"
"1642","H","19:08:00"
"1642","H","19:16:00"
"1642","H","19:24:00"
"1642","H","19:32:00"
"1642","H","19:40:00"
"1642","H","19:48:00"
"1642","H","19:56:00"
"1642","H","20:04:00"
"1642","H","20:12:00"
"1642","H","20:20:00"
"1642","H","20:28:00"
"1642","H","20:36:00"
"1642","H","20:44:00"
"1642","H","20:52:00"
"1642","H","21:08:00"
"1642","H","21:16:00"
"1642","H","21:24:00"
"1642","H","21:34:00"
"1642","H","21:52:00"
"1642","H","22:10:00"
"1642","H","22:28:00"
"1642","H","22:42:00"
"1642","H","23:00:00"
"1642","H","23:15:00"
"1642","H","23:30:00"
"1642","H","23:45:00"
"1642","H","00:00:00"
"1642","H","00:15:00"
"1642","H","00:30:00"
"1642","H","01:00:00"
"1643","H","05:00:00"
"1643","S","06:00:00"
"1643","D","06:00:00"
"1643","H","05:13:00"
"1643","S","06:26:00"
"1643","D","06:33:00"
"1643","H","05:29:00"
"1643","S","06:50:00"
"1643","D","06:55:00"
"1643","H","05:45:00"
"1643","S","07:00:00"
"1643","D","07:11:00"
"1643","H","06:00:00"
"1643","S","07:13:00"
"1643","D","07:28:00"
"1643","H","06:10:00"
"1643","S","07:26:00"
"1643","D","07:44:00"
"1643","H","06:15:00"
"1643","S","07:40:00"
"1643","D","08:01:00"
"1643","H","06:30:00"
"1643","S","07:53:00"
"1643","D","08:17:00"
"1643","H","06:40:00"
"1643","S","08:06:00"
"1643","D","08:34:00"
"1643","H","06:45:00"
"1643","S","08:19:00"
"1643","D","08:50:00"
"1643","H","06:55:00"
"1643","S","08:32:00"
"1643","D","09:07:00"
"1643","H","07:00:00"
"1643","S","08:46:00"
"1643","D","09:23:00"
"1643","H","07:10:00"
"1643","S","08:59:00"
"1643","D","09:40:00"
"1643","H","07:14:00"
"1643","S","09:12:00"
"1643","D","09:56:00"
"1643","H","07:22:00"
"1643","S","09:25:00"
"1643","D","10:13:00"
"1643","H","07:32:00"
"1643","S","09:38:00"
"1643","D","10:29:00"
"1643","H","07:37:00"
"1643","S","09:52:00"
"1643","D","10:46:00"
"1643","H","07:44:00"
"1643","S","10:05:00"
"1643","D","11:02:00"
"1643","H","07:52:00"
"1643","S","10:18:00"
"1643","D","11:19:00"
"1643","H","07:59:00"
"1643","S","10:31:00"
"1643","D","11:35:00"
"1643","H","08:07:00"
"1643","S","10:44:00"
"1643","D","11:52:00"
"1643","H","08:14:00"
"1643","S","10:58:00"
"1643","D","12:08:00"
"1643","H","08:21:00"
"1643","S","11:11:00"
"1643","D","12:25:00"
"1643","H","08:29:00"
"1643","S","11:24:00"
"1643","D","12:41:00"
"1643","H","08:36:00"
"1643","S","11:37:00"
"1643","D","12:58:00"
"1643","H","08:44:00"
"1643","S","11:50:00"
"1643","D","13:14:00"
"1643","H","08:51:00"
"1643","S","12:04:00"
"1643","D","13:31:00"
"1643","H","08:59:00"
"1643","S","12:17:00"
"1643","D","13:47:00"
"1643","H","09:06:00"
"1643","S","12:30:00"
"1643","D","14:04:00"
"1643","H","09:14:00"
"1643","S","12:43:00"
"1643","D","14:20:00"
"1643","H","09:21:00"
"1643","S","12:56:00"
"1643","D","14:37:00"
"1643","H","09:28:00"
"1643","S","13:10:00"
"1643","D","15:10:00"
"1643","H","09:36:00"
"1643","S","13:23:00"
"1643","D","15:43:00"
"1643","H","09:43:00"
"1643","S","13:36:00"
"1643","D","16:16:00"
"1643","H","09:51:00"
"1643","S","13:49:00"
"1643","D","16:49:00"
"1643","H","09:58:00"
"1643","S","14:02:00"
"1643","D","17:05:00"
"1643","H","10:06:00"
"1643","S","14:16:00"
"1643","D","17:22:00"
"1643","H","10:13:00"
"1643","S","14:42:00"
"1643","D","17:38:00"
"1643","H","10:21:00"
"1643","S","15:08:00"
"1643","D","17:55:00"
"1643","H","10:28:00"
"1643","S","15:48:00"
"1643","D","18:11:00"
"1643","H","10:35:00"
"1643","S","16:14:00"
"1643","D","18:28:00"
"1643","H","10:43:00"
"1643","S","16:41:00"
"1643","D","18:44:00"
"1643","H","10:50:00"
"1643","S","16:54:00"
"1643","D","19:01:00"
"1643","H","10:58:00"
"1643","S","17:07:00"
"1643","D","19:17:00"
"1643","H","11:05:00"
"1643","S","17:20:00"
"1643","D","19:34:00"
"1643","H","11:13:00"
"1643","S","17:34:00"
"1643","D","19:50:00"
"1643","H","11:20:00"
"1643","S","17:47:00"
"1643","D","20:07:00"
"1643","H","11:28:00"
"1643","S","18:00:00"
"1643","D","20:23:00"
"1643","H","11:35:00"
"1643","S","18:13:00"
"1643","D","20:40:00"
"1643","H","11:42:00"
"1643","S","18:26:00"
"1643","D","20:56:00"
"1643","H","11:50:00"
"1643","S","18:40:00"
"1643","D","21:29:00"
"1643","H","11:57:00"
"1643","S","18:53:00"
"1643","D","22:02:00"
"1643","H","12:05:00"
"1643","S","19:06:00"
"1643","D","22:35:00"
"1643","H","12:12:00"
"1643","S","19:19:00"
