"stop_lat","stop_entre","stop_lon","stop_numero","stop_calle","stop_id","stop_name"
-32.9761204281,"SAEZ",-68.7852881901,"802","Pescara","M2744","29811"
-32.9754551979,"NERVANI",-68.7882428484,"2","Sáenz","M2745","29812"
-32.9753588848,"SUARES",-68.7882593102,"802","Ozamis JA","M2746","29813"
-32.9751107551,"20 DE JUNIO",-68.7898366415,"71","Suárez","M2747","29814"
-32.9748019251,"T DE SAN MARTIN",-68.7912448012,"101","Suárez","M2748","29815"
-32.9747791876,"SUAREZ",-68.7912669428,"802","Infantería M. de San Martín","M2749","29816"
-32.9741154354,"SUAREZ",-68.7944066382,"","Maza JA","M2750","29817"
-32.9751118802,"20 DE JUNIO",-68.7898795568,"102","Suárez","M2751","29818"
-32.9754510858,"OZAMIS",-68.7883064412,"2","Suárez","M2752","29819"
-32.9759659747,"SAEZ",-68.786716707,"701","Vázquez","M2753","29820"
-32.9761749929,"SAEZ",-68.785292884,"701","Pescara","M2755","29822"
-32.9774395384,"MATIENZO",-68.7856529706,"651","Pescara","M2756","29823"
-32.9778390708,"FALUCHO",-68.7818386441,"801","Godoy Cruz T.","M2757","29824"
-32.9794039699,"J. NEWBERY",-68.7828659302,"652","Godoy Cruz T.","M2758","29825"
-32.9794675328,"J. NEWBERY",-68.7828920817,"601","Godoy Cruz T.","M2759","29826"
-32.9804967003,"OLMEDO R",-68.7823656445,"452","Barcala Cnel.","M2760","29827"
-32.9801623583,"Godoy Cruz T.",-68.7826670894,"402","Barcala Cnel.","M2761","29828"
-32.9797455456,"P. ARGENTINAS",-68.7847176382,"302","Barcala Cnel.","M2762","29829"
-32.9793281685,"Pablo Pescara",-68.7861237863,"202","Barcala Cnel.","M2763","29830"
-32.9793070724,"BARCALA",-68.7861451559,"602","Pescara","M2764","29831"
-32.97844222,"OZAMIS",-68.7890976855,"1","Barcala Cnel.","M2765","29832"
-32.9782221133,"BARCALA",-68.7890726901,"602","Ozamis JA","M2766","29833"
-32.9731170069,"GUEVARA",-68.80051154,"","Gargantini","M2767","29901"
-32.9741463749,"SUAREZ",-68.7946185327,"","Maza JA","M2768","29902"
-32.9722898685,"PEZUTTI",-68.7979260295,"","Guevara JF","M2769","29903"
-32.9726456275,"LUCCINI",-68.7963471404,"","Guevara JF","M2770","29904"
-32.9729224001,"MAZA",-68.7949718377,"","Guevara JF","M2771","29905"
-32.9729784002,"Luccinni",-68.7945244752,"701","Guevara JF","M2772","29906"
-32.9726473151,"LUCCINI",-68.7962224177,"","Guevara JF","M2773","29907"
-32.9722957227,"PEZZUTI",-68.7978424719,"","Guevara JF","M2774","29908"
-32.9722725606,"GUEVARA",-68.7978701294,"","Pezzutti S.","M2775","29909"
-32.9718642466,"GARGANTINI",-68.7999962857,"","Guevara JF","M2776","29910"
-32.9714738149,"LUCCINI",-68.7960942379,"","Martínez Leañez","M2777","29911"
-32.9711423922,"MARTINEZ LEANEZ",-68.7975616754,"","Pezzutti S.","M2778","29912"
-32.9701134707,"PALAEZ",-68.7971331925,"","Pezzutti S.","M2779","29913"
-32.9700701534,"PALAEZ",-68.797126487,"","Pezzutti S.","M2780","29914"
-32.9694450921,"LUCCINI",-68.7953634854,"","Martínez B.","M2782","29916"
-32.9698441221,"CIRCUNVALACION",-68.793663198,"","Martínez B.","M2783","29917"
-32.9704283487,"LOS PIONEROS",-68.7938686751,"","Los Pioneros","M2784","29918"
