"trip_headsign","direction_id","trip_short_name","trip_id","route_id","shape_id"
"055J-CENTROxCALLE 7","1","NULL","3222","055","3222"
"055J-CENTROxCALLE 7","0","NULL","3223","055","3223"
"055J-CENTROxCALLE 7","1","NULL","3255","055","3255"
"055J-CENTROxCALLE 7","0","NULL","3256","055","3256"
"056A COL-ALAM-C.GOB","1","NULL","3319","056","3319"
"056A COL-ALAM-C.GOB","1","NULL","2803","056","2803"
"056A COL-ALAM-C.GOB","0","NULL","2804","056","2804"
"056A COL-ALAM-C.GOB","1","NULL","3325","056","3325"
"056B ALAM-GOB-CTRO","1","NULL","3327","056","3327"
"056B ALAM-GOB-CTRO","1","NULL","3329","056","3329"
"056B ALAM-GOB-CTRO","1","NULL","3331","056","3331"
"056C ALA-E POUG-CAR","0","NULL","3334","056","3334"
"056C ALA-E POUG-CAR","0","NULL","3336","056","3336"
"056C ALA-E POUG-CAR","0","Termina en B  El Carmen y vuelve al Control VN sin trabajar.","2802","056","2802"
"056D-ALAM-EL CARMEN","0","NULL","3338","056","3338"
"056D-ALAM-EL CARMEN","0","NULL","3340","056","3340"
"061 M.HOYOS VANDOR","1","061 MATHUS HOYOS VANDOR","2111","061","2111"
"061 M.HOYOS VANDOR","0","061 MATHUS HOYOS VANDOR","2112","061","2112"
"061 Vand S.Y Sierr","1","061 Centro Vandor Sol y Sierra","2125","061","2125"
"061 S Y SIERRA VANDO","0","061 MATHUS HOYOS SOL Y SIERRA VANDOR CENTRO CONTROL","2132","061","2132"
"61 BAJADA VANDOR","0","61 BAJADA VANDOR CENTRO CONTROL","2128","061","2128"
"61BAJADA SOL Y SIER","0","61 MATHUS HOYOS BAJADA SOL Y SIERRA VANDOR CENTRO CONTROL","2131","061","2131"
"061 BORBOLL SY SIERR","1","BORBOLLON VANDOR SOL Y SIERRAS POR BELTRAN JUAN B JUSTO","2189","061","2189"
"061 S.Y SIERR BORB","0","SOL Y SIERRAS EL BORBOLLON ","2190","061","2190"
"062A M.HOYOS BELG ","0","NULL","1639","062","1639"
"062A M.HOYOS BELG","1","62 MATHUS HOYOS BELGRANO SIN CASA DE GOBIERNO","2109","062","2109"
