"route_id","route_short_name","route_type","route_desc"
"171","171","Bus","171 MAIPÚ.R.CRUZ.MDZ"
"171","171","Bus","171 R.CRUZ MZA"
"171","171","Bus","171 RCRUZ V.VIÑ.GUT"
"171","171","Bus","171 R.CRUZ V.NUV.MZA"
"171","171","Bus","171 R.CRUZ GUT.MAIPU"
"171","171","Bus","171 RCRUZ V.NUV.MZ"
"171","171","Bus","171 MPU.VIÑ.RCRUZ.MZ"
"171","171","Bus","171 MZ.RCRUZ.VVIÑEDO"
"171","171","Bus","171 MPU.VIÑ.RCRUZ.MZ"
"171","171","Bus","171 MPU.VIÑ.RCRUZ.MZ"
"171","171","Bus","171 MPU.VIÑ.RCRUZ.MZ"
"171","171","Bus","171 MZ.RCRUZ.MPU"
"171","171","Bus","171 MPU.VIÑ.RCRUZ.MZ"
"171","171","Bus","171 MZ.RCRUZ.VIÑ.MPU"
"171","171","Bus","171 V.VIÑ.RCRUZ MZ"
"171","171","Bus","171 MZ V.NVA.RCRUZ"
"171","171","Bus","171 R.CRUZ GUTIERR."
"172","172","Bus","172 Maipu-R.Cruz-Mdz"
"172","172","Bus","172 Mpu-R.Cruz-Mdz"
"172","172","Bus","172V.NUEV.R.CRUZ MZA"
"172","172","Bus","172Maipú-R.Cruz-Mdz"
"172","172","Bus","172Mdz-R.Cruz-Maipú"
"172","172","Bus","172- MPU.R.PEÑA.MDZ"
"172","172","Bus","172 MDZ.R.CRUZ.MPU"
"172","172","Bus","172 MPU R.PEÑA.R.MDZ"
"172","172","Bus","172MDZ.R.CRUZ.MAIPÚ"
"172","172","Bus","172 MDZ.R.CRUZ.MPÚ"
"172","172","Bus","172 MAIPÚ.R.PEÑA.MDZ"
"172","172","Bus","172 MDZ.R.CRUZ.MPÚ"
"172","172","Bus","172 MAIPÚ.R.PEÑA.MDZ"
"172","172","Bus","172 R.CRUZ.MDZ"
"172","172","Bus","MDZ.R.CRUZ.MAIPÚ"
"172","172","Bus","172 COQ.R.CRUZ MZA"
"172","172","Bus","172 R.CRUZ MZA"
"172","172","Bus","172CENS-MPU R.C.MZA"
"173","173","Bus","173 MDZ.R.PEÑA.MAIPÚ"
"173","173","Bus","173MZ GCR.V.VIÑ Mpu."
"173","173","Bus","173 R.CRUZ.MDZ"
"173","173","Bus","173 R.Cruz-Mdz"
"173","173","Bus","173Mz-Rutt.Ort-Mpu"
"173","173","Bus","MAIPÚ.R.CRUZ.MDZ"
"173","173","Bus","173B MZ.Z.ALC.ORT"
"173","173","Bus","173 MZ GCRUZ.COQ.MPU"
"173","173","Bus","173 R.Cruz-Mdz"
"173","173","Bus","173 R.Cruz-Mdz "
"173","173","Bus","173 Mz-Rutt.Ort-MPU"
"173","173","Bus","173 R.de la Cruz-Mdz"
"173","173","Bus","173 Mdz.Z.Alcoho.Ort"
"173","173","Bus","173 MAIPÚ.R.PEÑA.MDZ"
"173","173","Bus","173 MAIPÚ.R.PEÑA.MDZ"
"173","173","Bus","173 MPU.ORT.RPEÑA.MZ"
"173","173","Bus","173 MPU.ORT.RPEÑA.MZ"
"173","173","Bus","173 MPÚ.Z.ALCOHO.MZ"
"173","173","Bus","173 EXP.MPU.RPEÑA MZ"
"173","173","Bus","173EXP.MZA MPU RPEÑA"
"173","173","Bus","173 EXP.NECH.MPU MZA"
"173","173","Bus","173 EXP.NEC.MZA MPU"
"173","173","Bus","173 Z.IND.GCRUZ V.V."
"173","173","Bus","173 R.PEÑA.V.V.COQ"
"173","173","Bus","173 R.CRUZ.MDZ"
"173","173","Bus","173 MZ.RPEÑA.VVIÑEDO"
"173","173","Bus","173 MZA R.PEÑA ORT."
"173","173","Bus","173 RPEÑA V.VIÑ.ORT."
"173","173","Bus","173 Z.IND.GCRUZ COQ"
"173","173","Bus","173 R.PEÑA COQ.TSOSA"
"173","173","Bus","173 COQ.R.PEÑA MZA"
"173","173","Bus","173MZA GC.B.MOR.MPU"
"173","173","Bus","173MPU.MZA MOR.GC.MZ"
"173","173","Bus","173EXP.MPU.ACCEST.MZ"
"173","173","Bus","173 MZA ACCEST.MPU"
